Hospital,City,State,deathCause,deathRate
LAWRENCE MEDICAL CENTER,MOULTON,AL,pneumonia,9.8
HIGHLANDS MEDICAL CENTER,SCOTTSBORO,AL,heart attack,15
HIGHLANDS MEDICAL CENTER,SCOTTSBORO,AL,heart failure,13.4
HIGHLANDS MEDICAL CENTER,SCOTTSBORO,AL,pneumonia,12.9
WIREGRASS MEDICAL CENTER,GENEVA,AL,heart attack,
WIREGRASS MEDICAL CENTER,GENEVA,AL,heart failure,10.6
WIREGRASS MEDICAL CENTER,GENEVA,AL,pneumonia,12.3
RUSSELL HOSPITAL,ALEXANDER CITY,AL,heart attack,17.1
RUSSELL HOSPITAL,ALEXANDER CITY,AL,heart failure,11.6
RUSSELL HOSPITAL,ALEXANDER CITY,AL,pneumonia,14.9
FLORALA MEMORIAL HOSPITAL,FLORALA,AL,heart attack,
FLORALA MEMORIAL HOSPITAL,FLORALA,AL,heart failure,10.4
FLORALA MEMORIAL HOSPITAL,FLORALA,AL,pneumonia,12.1
MEDICAL CENTER BARBOUR,EUFAULA,AL,heart attack,
MEDICAL CENTER BARBOUR,EUFAULA,AL,heart failure,13.5
MEDICAL CENTER BARBOUR,EUFAULA,AL,pneumonia,15
CLAY COUNTY HOSPITAL,ASHLAND,AL,heart attack,16.7
CLAY COUNTY HOSPITAL,ASHLAND,AL,heart failure,12.6
CLAY COUNTY HOSPITAL,ASHLAND,AL,pneumonia,11.8
NORTHEAST ALABAMA REGIONAL MED CENTER,ANNISTON,AL,heart attack,15.6
NORTHEAST ALABAMA REGIONAL MED CENTER,ANNISTON,AL,heart failure,11.2
NORTHEAST ALABAMA REGIONAL MED CENTER,ANNISTON,AL,pneumonia,13.2
ATHENS-LIMESTONE HOSPITAL,ATHENS,AL,heart attack,15
ATHENS-LIMESTONE HOSPITAL,ATHENS,AL,heart failure,11.7
ATHENS-LIMESTONE HOSPITAL,ATHENS,AL,pneumonia,12.1
SOUTH BALDWIN REGIONAL MEDICAL CENTER,FOLEY,AL,heart attack,15.8
SOUTH BALDWIN REGIONAL MEDICAL CENTER,FOLEY,AL,heart failure,15.1
SOUTH BALDWIN REGIONAL MEDICAL CENTER,FOLEY,AL,pneumonia,9.8
DECATUR GENERAL HOSPITAL,DECATUR,AL,heart attack,16.8
DECATUR GENERAL HOSPITAL,DECATUR,AL,heart failure,10.9
DECATUR GENERAL HOSPITAL,DECATUR,AL,pneumonia,11.9
NORTHWEST MEDICAL CENTER,WINFIELD,AL,heart attack,
NORTHWEST MEDICAL CENTER,WINFIELD,AL,heart failure,11.8
NORTHWEST MEDICAL CENTER,WINFIELD,AL,pneumonia,13.1
UNIV OF SOUTH ALABAMA MEDICAL CENTER,MOBILE,AL,heart attack,
UNIV OF SOUTH ALABAMA MEDICAL CENTER,MOBILE,AL,heart failure,12.5
UNIV OF SOUTH ALABAMA MEDICAL CENTER,MOBILE,AL,pneumonia,
WALKER BAPTIST MEDICAL CENTER,JASPER,AL,heart attack,17
WALKER BAPTIST MEDICAL CENTER,JASPER,AL,heart failure,10.8
WALKER BAPTIST MEDICAL CENTER,JASPER,AL,pneumonia,11.9
PROVIDENCE HOSPITAL,MOBILE,AL,heart attack,15.2
PROVIDENCE HOSPITAL,MOBILE,AL,heart failure,13.5
PROVIDENCE HOSPITAL,MOBILE,AL,pneumonia,10.6
GROVE HILL MEMORIAL HOSPITAL,GROVE HILL,AL,heart attack,
GROVE HILL MEMORIAL HOSPITAL,GROVE HILL,AL,heart failure,10.4
GROVE HILL MEMORIAL HOSPITAL,GROVE HILL,AL,pneumonia,12.1
D C H REGIONAL MEDICAL CENTER,TUSCALOOSA,AL,heart attack,15.8
D C H REGIONAL MEDICAL CENTER,TUSCALOOSA,AL,heart failure,11.2
D C H REGIONAL MEDICAL CENTER,TUSCALOOSA,AL,pneumonia,11.3
HALE COUNTY HOSPITAL,GREENSBORO,AL,heart attack,
HALE COUNTY HOSPITAL,GREENSBORO,AL,heart failure,10.7
HALE COUNTY HOSPITAL,GREENSBORO,AL,pneumonia,11.5
ELMORE COMMUNITY HOSPITAL,WETUMPKA,AL,heart attack,
ELMORE COMMUNITY HOSPITAL,WETUMPKA,AL,heart failure,11.3
ELMORE COMMUNITY HOSPITAL,WETUMPKA,AL,pneumonia,11.2
D W MCMILLAN MEMORIAL HOSPITAL,BREWTON,AL,heart attack,15.7
D W MCMILLAN MEMORIAL HOSPITAL,BREWTON,AL,heart failure,14.8
D W MCMILLAN MEMORIAL HOSPITAL,BREWTON,AL,pneumonia,12.6
THOMAS HOSPITAL,FAIRHOPE,AL,heart attack,14.7
THOMAS HOSPITAL,FAIRHOPE,AL,heart failure,12.8
THOMAS HOSPITAL,FAIRHOPE,AL,pneumonia,13.1
CITIZENS BAPTIST MEDICAL CENTER,TALLADEGA,AL,heart attack,17.3
CITIZENS BAPTIST MEDICAL CENTER,TALLADEGA,AL,heart failure,14.9
CITIZENS BAPTIST MEDICAL CENTER,TALLADEGA,AL,pneumonia,12.1
J PAUL JONES HOSPITAL,CAMDEN,AL,heart attack,
J PAUL JONES HOSPITAL,CAMDEN,AL,heart failure,
J PAUL JONES HOSPITAL,CAMDEN,AL,pneumonia,11.4
BAPTIST MEDICAL CENTER-PRINCETON,BIRMINGHAM,AL,heart attack,14.9
BAPTIST MEDICAL CENTER-PRINCETON,BIRMINGHAM,AL,heart failure,11.4
BAPTIST MEDICAL CENTER-PRINCETON,BIRMINGHAM,AL,pneumonia,11.6
TRINITY MEDICAL CENTER,BIRMINGHAM,AL,heart attack,16.8
TRINITY MEDICAL CENTER,BIRMINGHAM,AL,heart failure,12.9
TRINITY MEDICAL CENTER,BIRMINGHAM,AL,pneumonia,13.9
PRATTVILLE BAPTIST HOSPITAL,PRATTVILLE,AL,heart attack,14.6
PRATTVILLE BAPTIST HOSPITAL,PRATTVILLE,AL,heart failure,14.8
PRATTVILLE BAPTIST HOSPITAL,PRATTVILLE,AL,pneumonia,14.2
PICKENS COUNTY MEDICAL CENTER,CARROLLTON,AL,heart attack,
PICKENS COUNTY MEDICAL CENTER,CARROLLTON,AL,heart failure,12.6
PICKENS COUNTY MEDICAL CENTER,CARROLLTON,AL,pneumonia,12.4
BULLOCK COUNTY HOSPITAL,UNION SPRINGS,AL,heart attack,
BULLOCK COUNTY HOSPITAL,UNION SPRINGS,AL,heart failure,12.3
BULLOCK COUNTY HOSPITAL,UNION SPRINGS,AL,pneumonia,12.1
BRYAN W WHITFIELD MEM HOSP INC,DEMOPOLIS,AL,heart attack,
BRYAN W WHITFIELD MEM HOSP INC,DEMOPOLIS,AL,heart failure,11.7
BRYAN W WHITFIELD MEM HOSP INC,DEMOPOLIS,AL,pneumonia,9.1
MOBILE INFIRMARY,MOBILE,AL,heart attack,19.3
MOBILE INFIRMARY,MOBILE,AL,heart failure,10.7
MOBILE INFIRMARY,MOBILE,AL,pneumonia,12.5
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",BESSEMER,AL,heart attack,15.3
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",BESSEMER,AL,heart failure,11.4
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",BESSEMER,AL,pneumonia,12.1
VAUGHAN REG MED CENTER PARKWAY CAMPUS,SELMA,AL,heart attack,14.7
VAUGHAN REG MED CENTER PARKWAY CAMPUS,SELMA,AL,heart failure,12
VAUGHAN REG MED CENTER PARKWAY CAMPUS,SELMA,AL,pneumonia,14
MONROE COUNTY HOSPITAL,MONROEVILLE,AL,heart attack,
MONROE COUNTY HOSPITAL,MONROEVILLE,AL,heart failure,13
MONROE COUNTY HOSPITAL,MONROEVILLE,AL,pneumonia,15.6
LAKELAND COMMUNITY HOSPITAL,HALEYVILLE,AL,heart attack,
LAKELAND COMMUNITY HOSPITAL,HALEYVILLE,AL,heart failure,13.6
LAKELAND COMMUNITY HOSPITAL,HALEYVILLE,AL,pneumonia,10.7
TROY REGIONAL MEDICAL CENTER,TROY,AL,heart attack,
TROY REGIONAL MEDICAL CENTER,TROY,AL,heart failure,11.2
TROY REGIONAL MEDICAL CENTER,TROY,AL,pneumonia,11.1
JACKSON MEDICAL CENTER,JACKSON,AL,heart attack,
JACKSON MEDICAL CENTER,JACKSON,AL,heart failure,12.3
JACKSON MEDICAL CENTER,JACKSON,AL,pneumonia,9.3
NORTH BALDWIN INFIRMARY,BAY MINETTE,AL,heart attack,
NORTH BALDWIN INFIRMARY,BAY MINETTE,AL,heart failure,11.5
NORTH BALDWIN INFIRMARY,BAY MINETTE,AL,pneumonia,14.6
ST VINCENT'S ST CLAIR,PELL CITY,AL,heart attack,
ST VINCENT'S ST CLAIR,PELL CITY,AL,heart failure,10.8
ST VINCENT'S ST CLAIR,PELL CITY,AL,pneumonia,11.4
CRESTWOOD MEDICAL CENTER,HUNTSVILLE,AL,heart attack,13.3
CRESTWOOD MEDICAL CENTER,HUNTSVILLE,AL,heart failure,13.8
CRESTWOOD MEDICAL CENTER,HUNTSVILLE,AL,pneumonia,10.4
COOPER GREEN MERCY HOSPITAL,BIRMINGHAM,AL,heart attack,
COOPER GREEN MERCY HOSPITAL,BIRMINGHAM,AL,heart failure,
COOPER GREEN MERCY HOSPITAL,BIRMINGHAM,AL,pneumonia,
HILL HOSPITAL OF SUMTER COUNTY,YORK,AL,heart attack,
HILL HOSPITAL OF SUMTER COUNTY,YORK,AL,heart failure,
HILL HOSPITAL OF SUMTER COUNTY,YORK,AL,pneumonia,
BROOKWOOD MEDICAL CENTER,BIRMINGHAM,AL,heart attack,16.5
BROOKWOOD MEDICAL CENTER,BIRMINGHAM,AL,heart failure,13.5
BROOKWOOD MEDICAL CENTER,BIRMINGHAM,AL,pneumonia,13
SPRINGHILL MEDICAL CENTER,MOBILE,AL,heart attack,16
SPRINGHILL MEDICAL CENTER,MOBILE,AL,heart failure,10.4
SPRINGHILL MEDICAL CENTER,MOBILE,AL,pneumonia,13.8
JACKSONVILLE MEDICAL CENTER,JACKSONVILLE,AL,heart attack,
JACKSONVILLE MEDICAL CENTER,JACKSONVILLE,AL,heart failure,16.4
JACKSONVILLE MEDICAL CENTER,JACKSONVILLE,AL,pneumonia,19.2
EVERGREEN MEDICAL CENTER,EVERGREEN,AL,heart attack,
EVERGREEN MEDICAL CENTER,EVERGREEN,AL,heart failure,9.1
EVERGREEN MEDICAL CENTER,EVERGREEN,AL,pneumonia,12
BAPTIST MEDICAL CENTER EAST,MONTGOMERY,AL,heart attack,14.2
BAPTIST MEDICAL CENTER EAST,MONTGOMERY,AL,heart failure,9.6
BAPTIST MEDICAL CENTER EAST,MONTGOMERY,AL,pneumonia,10.2
BIRMINGHAM VA MEDICAL CENTER,BIRMINGHAM                    ,AL,heart attack,16.1
BIRMINGHAM VA MEDICAL CENTER,BIRMINGHAM                    ,AL,heart failure,10.4
BIRMINGHAM VA MEDICAL CENTER,BIRMINGHAM                    ,AL,pneumonia,11
L V STABLER MEMORIAL HOSPITAL,GREENVILLE,AL,heart attack,
L V STABLER MEMORIAL HOSPITAL,GREENVILLE,AL,heart failure,11.1
L V STABLER MEMORIAL HOSPITAL,GREENVILLE,AL,pneumonia,13
INFIRMARY WEST,MOBILE,AL,heart attack,
INFIRMARY WEST,MOBILE,AL,heart failure,12.5
INFIRMARY WEST,MOBILE,AL,pneumonia,13.1
SHOALS HOSPITAL,MUSCLE SHOALS,AL,heart attack,
SHOALS HOSPITAL,MUSCLE SHOALS,AL,heart failure,13.6
SHOALS HOSPITAL,MUSCLE SHOALS,AL,pneumonia,12.8
RUSSELLVILLE HOSPITAL,RUSSELLVILLE,AL,heart attack,
RUSSELLVILLE HOSPITAL,RUSSELLVILLE,AL,heart failure,14.8
RUSSELLVILLE HOSPITAL,RUSSELLVILLE,AL,pneumonia,11.5
COOSA VALLEY MEDICAL CENTER,SYLACAUGA,AL,heart attack,15.2
COOSA VALLEY MEDICAL CENTER,SYLACAUGA,AL,heart failure,11.7
COOSA VALLEY MEDICAL CENTER,SYLACAUGA,AL,pneumonia,11.4
JACK HUGHSTON MEMORIAL HOSPITAL,PHENIX CITY,AL,heart attack,
JACK HUGHSTON MEMORIAL HOSPITAL,PHENIX CITY,AL,heart failure,10.8
JACK HUGHSTON MEMORIAL HOSPITAL,PHENIX CITY,AL,pneumonia,10.9
ATMORE COMMUNITY HOSPITAL,ATMORE,AL,heart attack,
ATMORE COMMUNITY HOSPITAL,ATMORE,AL,heart failure,10.8
ATMORE COMMUNITY HOSPITAL,ATMORE,AL,pneumonia,13
VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,MONTGOMERY                    ,AL,heart attack,
VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,MONTGOMERY                    ,AL,heart failure,12.2
VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,MONTGOMERY                    ,AL,pneumonia,11.3
TUSCALOOSA VA MEDICAL CENTER,TUSCALOOSA                    ,AL,heart attack,
TUSCALOOSA VA MEDICAL CENTER,TUSCALOOSA                    ,AL,heart failure,
TUSCALOOSA VA MEDICAL CENTER,TUSCALOOSA                    ,AL,pneumonia,
WASHINGTON COUNTY HOSPITAL,CHATOM,AL,heart attack,
WASHINGTON COUNTY HOSPITAL,CHATOM,AL,heart failure,
WASHINGTON COUNTY HOSPITAL,CHATOM,AL,pneumonia,
RED BAY HOSPITAL,RED BAY,AL,heart attack,
RED BAY HOSPITAL,RED BAY,AL,heart failure,12.6
RED BAY HOSPITAL,RED BAY,AL,pneumonia,11.6
UNIV OF S AL CHILDREN'S & WOMEN'S HOS,MOBILE,AL,heart attack,
UNIV OF S AL CHILDREN'S & WOMEN'S HOS,MOBILE,AL,heart failure,
UNIV OF S AL CHILDREN'S & WOMEN'S HOS,MOBILE,AL,pneumonia,
PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,AK,heart attack,13.4
PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,AK,heart failure,12.4
PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,AK,pneumonia,10.5
MAT-SU REGIONAL MEDICAL CENTER,PALMER,AK,heart attack,17.7
MAT-SU REGIONAL MEDICAL CENTER,PALMER,AK,heart failure,11.4
MAT-SU REGIONAL MEDICAL CENTER,PALMER,AK,pneumonia,12.1
BARTLETT REGIONAL HOSPITAL,JUNEAU,AK,heart attack,
BARTLETT REGIONAL HOSPITAL,JUNEAU,AK,heart failure,11.6
BARTLETT REGIONAL HOSPITAL,JUNEAU,AK,pneumonia,11.6
FAIRBANKS MEMORIAL HOSPITAL,FAIRBANKS,AK,heart attack,15.5
FAIRBANKS MEMORIAL HOSPITAL,FAIRBANKS,AK,heart failure,15.6
FAIRBANKS MEMORIAL HOSPITAL,FAIRBANKS,AK,pneumonia,13.4
ALASKA REGIONAL HOSPITAL,ANCHORAGE,AK,heart attack,14.5
ALASKA REGIONAL HOSPITAL,ANCHORAGE,AK,heart failure,13.4
ALASKA REGIONAL HOSPITAL,ANCHORAGE,AK,pneumonia,12.5
YUKON KUSKOKWIM DELTA REG HOSPITAL,BETHEL,AK,heart attack,
YUKON KUSKOKWIM DELTA REG HOSPITAL,BETHEL,AK,heart failure,11.2
YUKON KUSKOKWIM DELTA REG HOSPITAL,BETHEL,AK,pneumonia,9.7
CENTRAL PENINSULA GENERAL HOSPITAL,SOLDOTNA,AK,heart attack,
CENTRAL PENINSULA GENERAL HOSPITAL,SOLDOTNA,AK,heart failure,11.6
CENTRAL PENINSULA GENERAL HOSPITAL,SOLDOTNA,AK,pneumonia,13.8
ALASKA NATIVE MEDICAL CENTER,ANCHORAGE,AK,heart attack,15.7
ALASKA NATIVE MEDICAL CENTER,ANCHORAGE,AK,heart failure,11.6
ALASKA NATIVE MEDICAL CENTER,ANCHORAGE,AK,pneumonia,15.5
MT EDGECUMBE HOSPITAL,SITKA,AK,heart attack,
MT EDGECUMBE HOSPITAL,SITKA,AK,heart failure,
MT EDGECUMBE HOSPITAL,SITKA,AK,pneumonia,14.2
PROVIDENCE VALDEZ MEDICAL CENTER,VALDEZ,AK,heart attack,
PROVIDENCE VALDEZ MEDICAL CENTER,VALDEZ,AK,heart failure,
PROVIDENCE VALDEZ MEDICAL CENTER,VALDEZ,AK,pneumonia,
PROVIDENCE SEWARD HOSPITAL,SEWARD,AK,heart attack,
PROVIDENCE SEWARD HOSPITAL,SEWARD,AK,heart failure,
PROVIDENCE SEWARD HOSPITAL,SEWARD,AK,pneumonia,
SITKA COMMUNITY HOSPITAL,SITKA,AK,heart attack,
SITKA COMMUNITY HOSPITAL,SITKA,AK,heart failure,
SITKA COMMUNITY HOSPITAL,SITKA,AK,pneumonia,11.5
PROVIDENCE KODIAK ISLAND MEDICAL CTR,KODIAK,AK,heart attack,
PROVIDENCE KODIAK ISLAND MEDICAL CTR,KODIAK,AK,heart failure,
PROVIDENCE KODIAK ISLAND MEDICAL CTR,KODIAK,AK,pneumonia,12
CORDOVA COMMUNITY MEDICAL CENTER,CORDOVA,AK,heart attack,
CORDOVA COMMUNITY MEDICAL CENTER,CORDOVA,AK,heart failure,
CORDOVA COMMUNITY MEDICAL CENTER,CORDOVA,AK,pneumonia,
NORTON SOUND REGIONAL HOSPITAL,NOME,AK,heart attack,
NORTON SOUND REGIONAL HOSPITAL,NOME,AK,heart failure,
NORTON SOUND REGIONAL HOSPITAL,NOME,AK,pneumonia,11.6
PEACEHEALTH KETCHIKAN MEDICAL             CENTER,KETCHIKAN,AK,heart attack,
PEACEHEALTH KETCHIKAN MEDICAL             CENTER,KETCHIKAN,AK,heart failure,11.4
PEACEHEALTH KETCHIKAN MEDICAL             CENTER,KETCHIKAN,AK,pneumonia,11.3
SOUTH PENINSULA HOSPITAL,HOMER,AK,heart attack,
SOUTH PENINSULA HOSPITAL,HOMER,AK,heart failure,10.8
SOUTH PENINSULA HOSPITAL,HOMER,AK,pneumonia,12.2
MARYVALE HOSPITAL,PHOENIX,AZ,heart attack,
MARYVALE HOSPITAL,PHOENIX,AZ,heart failure,11
MARYVALE HOSPITAL,PHOENIX,AZ,pneumonia,11.9
BANNER GOOD SAMARITAN MEDICAL CENTER,PHOENIX,AZ,heart attack,13.6
BANNER GOOD SAMARITAN MEDICAL CENTER,PHOENIX,AZ,heart failure,8.7
BANNER GOOD SAMARITAN MEDICAL CENTER,PHOENIX,AZ,pneumonia,11.1
